2GIVE,GiveCoin
ABY,ArtByte
ACT,Achain
ADA,Cardano
ADT,adToken
AGI,SingularityNET
AID,AidCoin
AION,Aion
ALIS,ALIS
AMPL,Ampleforth
ANT,Aragon
ARK,Ark
AST,AirSwap
ATB,ATBCoin
ATM,ATMChain
AUR,Auroracoin
AVT,Aventus
B3,B3Coin
BAT,Basic-Attention-Token
BCC,BitConnect
BCD,Bitcoin-Diamond
BCH,Bitcoin-Cash
BFT,BF-Token
BITB,BitBean
BLZ,Bluzelle
BNB,Binance-Coin
BNT,Bancor-Network-Token
BTC,Bitcoin
BTG,Bitcoin-Gold
BTS,BitShares
BUZZ,BuzzCoin
BYTOM,Bytom
C20,Crypto20
CANN,CannabisCoin
CHAT,ChatCoin
CLOAK,CloakCoin
CND,Cindicator
CNX,Cryptonex
COSS,COSS
CTXC,Cortex
CVC,Civic
DAI,Dai
DASH,Dash
DATA,DATAcoin
DCR,Decred
DENT,Dent
DGB,DigiByte
DGD,DigixDAO
DMD,Diamond
DOGE,DogeCoin
DRGN,Dragonchain
DTA,Data
DYN,Dynamic
EDG,Edgeless
EDO,Eidoo
EGC,EverGreenCoin
EKT,EDUCare
ELF,aelf
EMB,Embercoin
EMC,Emercoin
ENJ,Enjin-Coin
EOS,EOS
ETC,Ethereum-Classic
ETH,Ethereum
ETHOS,Ethos
ETN,Electroneum
ETP,Metaverse-Entropy
FRST,FirstCoin
FUN,FunFair
GAME,GameCredits
GAS,Gas
GBX,GoByte
GCR,GCRCoin
GNO,Gnosis-Token
GNT,Golem-Tokens
GRC,Gridcoin
GRS,Groestlcoin
GTO,Gifto
GVT,Genesis-Vision
HMQ,Humaniq
HVN,Hive
ICX,ICON
IFT,investFeed
INK,Ink
INT,Internet-Node-Token
IOP,Internet-of-People
IOST,IOStoken
IOTA,IOTA
IOTX,IoTeX
IXC,iXcoin
IXT,InsureX
KICK,KickCoin
KIN,KIN
KMD,Komodo
KNC,Kyber-Network
LCC,Litecoin-Cash
LEND,EthLend
LINDA,Linda
LINK,ChainLink
LKK,Lykke
LOOM,Loom-Token
LRC,Loopring
LSK,Lisk
LTC,Litecoin
LUN,Lunyr
MANA,Decentraland
MAX,Maxcoin
MCO,Monaco
MDA,Moeda-Loyalty-Points
MGO,MobileGo
MITH,Mithril
MKR,Maker
MLN,Melon
MNX,MinexCoin
MTN,MedToken
NANO,Nano
NAS,Nebulas-Token
NCASH,Nucleus-Vision
NEO,NEO
NET,Nimiq
NLC2,NoLimitCoin
NMC,Namecoin
NMR,Numeraire
NPXS,Pundi-X-Token
NULS,Nuls
NVC,Novacoin
OBITS,Obits
ODEM,ODEM
OK,OKCash
OMG,OmiseGo
OMNI,Omni
ONION,DeepOnion
ONT,Ontology
PAY,TenX
PING,CryptoPing
PIVX,PIVX
PLBT,Polybius
PLR,Pillar
POA,POA-Network
POLY,Polymath
POSW,PoSW-Coin
POWR,Power-Ledger
PPC,Peercoin
PPT,Populous
PPY,Peerplays
PRG,Paragon-Coin
PRO,Propy
QASH,QASH
QTUM,Qtum
R,Revain
RADS,Radium
RBIES,Rubies
RBY,RubyCoin
RCN,Ripio-Credit-Network
RDD,ReddCoin
RDN,Raiden-Network-Token
REC,Regalcoin
REP,Augur
REQ,Request-Network
RISE,Rise
RLC,RLC-Token
RLT,RouletteToken
RRT,Recovery-Right-Tokens
SAN,Santiment-Network-Token
SBTC,Super-Bitcoin
SC,Siacoin
SHIFT,SHIFT
SIB,SIBCoin
SIGT,Signatum
SKY,Skycoin
SLR,SolarCoin
SMART,SmartCash
SNC,SunContract
SNGLS,SingularDTV
SNM,SONM
SNT,Status-Network-Token
SPANK,SpankChain
SPR,SpreadCoin
SRN,Sirin-Labs-Token
START,Startcoin
STORJ,Storj
STORM,Storm
STQ,Storiqa
STRAT,Stratis
STX,Stox
SUB,Substratum
SYS,SysCoin
TAAS,Taas
TFL,True-Flip
THETA,Theta-Token
TIME,Time
TKN,TokenCard
TNB,Time-New-Bank
TNT,Tierion
TRST,Trustcoin
TRUE,TrueChain
TRX,Tronix
TUSD,TrueUSD
USDT,Tether
UTK,UTrust
VEE,BLOCKv
VEN,VeChain
VIA,Viacoin
VIB,Viberate
VOISE,Voise
VPN,VPNCoin
VRS,Veros
VSL,vSlice
VTC,Vertcoin
WAN,Wanchain
WAVES,Waves
WAX,Wax-Token
WCT,Waves-Community
WGO,WavesGo
WGR,Wagerr
WPR,WePower
WTC,Walton
XBY,XtraBYtes
XEM,NEM
XLM,Stellar
XMG,Magi
XMR,Monero
XMT,Metal
XRL,Rialto
XRP,Ripple
XTZ,Tezos
XVG,Verge
XZC,ZCoin
YOYOW,YOYOW
ZEC,Zcash
ZEN,ZenCash
ZET,Zetacoin
ZIL,Zilliqa
ZRX,0x
